slutpris,avgift_kr,boarea_kvm,antal_rum,sald_datum,prisforandring_pct,pris_per_kvm,omrade,url,bostadstyp,raw_text,sald_ar,sald_manad,sald_kvartal,omrade_clean,kvm_per_rum,avgift_per_kvm,avgift_andel,sasong,budkrig,prissankt,storlek_kategori
1195000,6802.0,82.0,3.0,2026-03-06,0.0,14573.0,Lägenhet Väster,https://www.hemnet.se/salda/lagenhet-3rum-vaster-orebro-kommun-gjutaregatan-1-5359780164276501290,lagenheter,"Såld 6 mar. 2026 Gjutaregatan 1 Lägenhet Väster, Örebro kommun 82 m² 3 rum 6 802 kr/mån Balkong Slutpris 1 195 000 kr ±0 % 14 573 kr/m² Erik Olsson Fastighetsförmedling",2026,3,1,Väster,27.3,83.0,6.83,vår,0,0,stor (80-100)
1800000,4446.0,54.0,2.0,2026-03-05,0.0,33333.0,Lägenhet Rynninge,https://www.hemnet.se/salda/lagenhet-2rum-rynninge-orebro-kommun-pionjargatan-12-2535975568906422824,lagenheter,"Såld 5 mar. 2026 Pionjärgatan 12 Lägenhet Rynninge, Örebro kommun 54 m² 2 rum 4 446 kr/mån Balkong Hiss Slutpris 1 800 000 kr ±0 % 33 333 kr/m² Wallenstedt Fastighetsmäkleri",2026,3,1,Rynninge,27.0,82.3,2.96,vår,0,0,liten (40-60)
4225000,5382.0,95.0,3.0,2026-03-05,10.0,44474.0,E Lägenhet Öster,https://www.hemnet.se/salda/lagenhet-3rum-oster-orebro-kommun-nygatan-65e-6836177247923311315,lagenheter,"Såld 5 mar. 2026 Nygatan 65E Lägenhet Öster, Örebro kommun 95 m² 3 rum 5 382 kr/mån Slutpris 4 225 000 kr +10 % 44 474 kr/m² Nordå Fastighetsmäklare",2026,3,1,Lägenhet Öster,31.7,56.7,1.53,vår,1,0,stor (80-100)
2100000,6046.0,78.5,3.0,2026-03-04,-4.0,26752.0,Lägenhet Rynninge,https://www.hemnet.se/salda/lagenhet-3rum-rynninge-orebro-kommun-vallare-walls-gata-17-8962724357141326202,lagenheter,"Såld 4 mar. 2026 Vallare Walls gata 17 Lägenhet Rynninge, Örebro kommun 78,5 m² 3 rum 6 046 kr/mån Balkong Hiss Slutpris 2 100 000 kr -4 % 26 752 kr/m² Nordå Fastighetsmäklare",2026,3,1,Rynninge,26.2,77.0,3.45,vår,0,1,medel (60-80)
935000,4604.0,78.5,3.0,2026-03-03,18.0,11911.0,Lägenhet Lundby,https://www.hemnet.se/salda/lagenhet-3rum-lundby-orebro-kommun-mandelstensvagen-49-4360021709132395832,lagenheter,"Såld 3 mar. 2026 Mandelstensvägen 49 Lägenhet Lundby, Örebro kommun 78,5 m² 3 rum 4 604 kr/mån Balkong Slutpris 935 000 kr +18 % 11 911 kr/m² Mäklarhuset Örebro",2026,3,1,Lundby,26.2,58.6,5.91,vår,1,0,medel (60-80)
1300000,3962.0,53.0,2.0,2026-03-03,-7.0,24528.0,A Lägenhet Sörby/Eklunda,https://www.hemnet.se/salda/lagenhet-2rum-sorby-eklunda-orebro-kommun-hagmarksgatan-27a-3371168791637209293,lagenheter,"Såld 3 mar. 2026 Hagmarksgatan 27A Lägenhet Sörby/Eklunda, Örebro kommun 53 m² 2 rum 3 962 kr/mån Balkong Slutpris 1 300 000 kr -7 % 24 528 kr/m² SkandiaMäklarna Örebro",2026,3,1,Lägenhet Sörby/Eklunda,26.5,74.8,3.66,vår,0,1,liten (40-60)
895000,3667.0,37.5,1.0,2026-03-02,0.0,23867.0,B Lägenhet Centralt Väster,https://www.hemnet.se/salda/lagenhet-1rum-centralt-vaster-orebro-kommun-vastra-bangatan-33b-1202861115105374407,lagenheter,"Såld 2 mar. 2026 Västra Bangatan 33B Lägenhet Centralt Väster, Örebro kommun 37,5 m² 1 rum 3 667 kr/mån Balkong Slutpris 895 000 kr ±0 % 23 867 kr/m² LF Fastighetsförmedling Örebro",2026,3,1,Lägenhet Centralt Väster,37.5,97.8,4.92,vår,0,0,mini (<40)
650000,4059.0,40.0,1.0,2026-03-01,-6.0,16250.0,D Lägenhet Väster,https://www.hemnet.se/salda/lagenhet-1rum-vaster-orebro-kommun-lovstagatan-46d-8251483603733752870,lagenheter,"Såld 1 mar. 2026 Lövstagatan 46D Lägenhet Väster, Örebro kommun 40 m² 1 rum 4 059 kr/mån Balkong Hiss Slutpris 650 000 kr -6 % 16 250 kr/m² Mäklarhuset Örebro",2026,3,1,Lägenhet Väster,40.0,101.5,7.49,vår,0,1,mini (<40)
2100000,5524.0,72.0,3.0,2026-02-27,5.0,29167.0,Lägenhet Sörbyängen,https://www.hemnet.se/salda/lagenhet-3rum-sorbyangen-orebro-kommun-lillbackavagen-5-3653219751344652097,lagenheter,"Såld 27 feb. 2026 Lillbackavägen 5 Lägenhet Sörbyängen, Örebro kommun 72 m² 3 rum 5 524 kr/mån Balkong Hiss Slutpris 2 100 000 kr +5 % 29 167 kr/m² Wallenstedt Fastighetsmäkleri",2026,2,1,Sörbyängen,24.0,76.7,3.16,vinter,1,0,medel (60-80)
1125000,4881.0,67.5,2.0,2026-02-27,-6.0,16667.0,Lägenhet Centralt Norr,https://www.hemnet.se/salda/lagenhet-2rum-centralt-norr-orebro-kommun-slottsgatan-21-409231509230030803,lagenheter,"Maps Data: Google © 2026 Såld 27 feb. 2026 Slottsgatan 21 Lägenhet Centralt Norr, Örebro kommun 67,5 m² 2 rum 4 881 kr/mån Balkong Hiss Slutpris 1 125 000 kr -6 % 16 667 kr/m² Fastighetsbyrån Örebro",2026,2,1,Centralt Norr,33.8,72.3,5.21,vinter,0,1,medel (60-80)
